27,Cancel Submitted,True,2020-01-27 18:30:05.437605,1/1/20,1/1/20,"Order(orderId=27, permId=1424005030, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3241.0, tif='GTC', ocaGroup='1424005029', ocaType=3, parentId=26, trailStopPrice=3241.0, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
63,Cancel Submitted,False,2020-01-27 20:15:06.424777,1/1/20,1/1/20,"Order(orderId=63, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
63,Cancel Submitted,False,2020-01-27 20:15:06.427669,1/1/20,1/1/20,"Order(orderId=63, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
64,Cancel Submitted,False,2020-01-27 20:15:07.467738,1/1/20,1/1/20,"Order(orderId=64, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
64,Cancel Submitted,False,2020-01-27 20:15:07.471710,1/1/20,1/1/20,"Order(orderId=64, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
85,Cancel Submitted,True,2020-01-27 21:15:04.618484,1/1/20,1/1/20,"Order(orderId=85, action='Sell', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
86,Cancel Submitted,True,2020-01-27 21:15:05.633585,1/1/20,1/1/20,"Order(orderId=86, permId=1424005034, action='BUY', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3258.25, tif='GTC', ocaGroup='1424005033', ocaType=3, parentId=85, trailStopPrice=3258.25, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
112,Cancel Submitted,True,2020-01-27 22:30:03.908905,1/1/20,1/1/20,"Order(orderId=112, action='Sell', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
113,Cancel Submitted,True,2020-01-27 22:30:04.929366,1/1/20,1/1/20,"Order(orderId=113, permId=1424005036, action='BUY', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3257.0, tif='GTC', ocaGroup='1424005035', ocaType=3, parentId=112, trailStopPrice=3257.0, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
124,Cancel Submitted,False,2020-01-27 23:00:07.102156,1/1/20,1/1/20,"Order(orderId=124, action='Buy', totalQuantity=2.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
124,Cancel Submitted,False,2020-01-27 23:00:07.111299,1/1/20,1/1/20,"Order(orderId=124, action='Buy', totalQuantity=2.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
125,Cancel Submitted,False,2020-01-27 23:00:08.136779,1/1/20,1/1/20,"Order(orderId=125, action='Buy', totalQuantity=2.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
125,Cancel Submitted,False,2020-01-27 23:00:08.147435,1/1/20,1/1/20,"Order(orderId=125, action='Buy', totalQuantity=2.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
126,Cancel Submitted,True,2020-01-27 23:00:09.206523,1/1/20,1/1/20,"Order(orderId=126, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='ccibb_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
127,Cancel Submitted,True,2020-01-27 23:00:10.217553,1/1/20,1/1/20,"Order(orderId=127, permId=1424005040, action='SELL', totalQuantity=1, orderType='STP', lmtPrice=0.0, auxPrice=3241.0, tif='GTC', ocaGroup='1424005039', ocaType=3, parentId=126, trailStopPrice=3241.0, faProfile='ccibb_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
143,Cancel Submitted,True,2020-01-28 07:00:05.409552,1/1/20,1/1/20,"Order(orderId=143, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
144,Cancel Submitted,True,2020-01-28 07:00:06.425185,1/1/20,1/1/20,"Order(orderId=144, permId=1424005042, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3247.75, tif='GTC', ocaGroup='1424005041', ocaType=3, parentId=143, trailStopPrice=3247.75, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
