"'2019-08-26 12:00:00.354832,'short','-51.03220885312888',-41.781819276748266','-37.4171307345554','-34.976293346081356','7.444547163721056','0.6654559931924662','46.59559858755443','-11.117561877307844',-17.04226078931321','14.505602738175908','2.6381972181336035','71.66209074440475','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 12:15:00.311663,'long','-4.81355075211297',-37.88841697979138','-49.68116798384496','-41.61293916808778','7.305650937740981','0.6671445820876881','58.94615771788877','-10.931089655358338',-17.01895176156952','14.505602738175908','2.639715246263026','71.96498431782595','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 12:30:00.266229,'short','64.00131124392051',-21.634327804839305','-6.228286273766999','-38.06525891999813','7.5338187279023385','0.6873804328851424','83.3987703102798','-10.931089655358338',-17.01895176156952','14.505602738175908','2.639715246263026','71.96498431782595','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 12:45:00.337016,'short','64.28103587263567',-4.400064121625241','64.00131124392051','-21.634327804839305','7.245688818766458','0.6679900212851009','75.8261260136181','-10.931089655358338',-17.01895176156952','14.505602738175908','2.639715246263026','71.96498431782595','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 13:00:00.328785,'long','59.29184998951941',10.31146522476077','64.28103587263567','-4.400064121625241','6.978139617425996','0.6848541103210096','75.57028414726872','5.364187780829799',-14.031447687675923','14.308773971163344','2.7238619104101067','77.50427727073233','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 13:15:00.234231,'long','63.449735449742754',18.403628500553523','59.29184998951941','10.31146522476077','6.854701073324139','0.692903187885188','67.72745047421299','5.364187780829799',-14.031447687675923','14.308773971163344','2.7238619104101067','77.50427727073233','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 13:30:00.460981,'long','40.24658740642924',24.742991871260028','63.449735449742754','18.403628500553523','6.507936710943843','0.7009914184321477','66.58975289267723','5.364187780829799',-14.031447687675923','14.308773971163344','2.7238619104101067','77.50427727073233','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 13:45:00.275222,'short','17.530541724488454',31.789648404927703','41.672167216726784','24.921189347547223','6.275226945876426','0.6972837248279717','58.24546623988083','5.364187780829799',-14.031447687675923','14.308773971163344','2.7238619104101067','77.50427727073233','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 14:00:00.336812,'short','5.283266330236426',38.66020269418787','17.530541724488454','31.789648404927703','6.059139306885252','0.6576439828795049','57.74984683306297','8.587570621467249',-10.747175816558508','13.929575830365962','2.776127414287894','71.32937472760926','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 14:15:00.332839,'short','-62.602185040872605',31.613465348299677','5.283266330236426','38.66020269418787','6.108486499250591','0.6419899240786918','30.726436271176226','8.587570621467249',-10.747175816558508','13.929575830365962','2.776127414287894','71.32937472760926','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 14:30:01.030963,'short','-88.16061942917297',12.593224014162992','-62.602185040872605','31.613465348299677','5.9043088921612625','0.6407420929076896','32.59068876561605','8.587570621467249',-10.747175816558508','13.929575830365962','2.776127414287894','71.32937472760926','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
